,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
9797,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Dog Who Came in From the Cold: Corduroy Mansions Series, Book 2 (unabridged) (Unabridged)",Alexander McCall Smith,"Fiction, Literature","Recorded Books, LLC",2016
9801,Digital,OverDrive,AUDIOBOOK,2018,1,1,All Summer Long: A Novel (unabridged) (Unabridged),Dorothea Benton Frank,"Fiction, Literature",HarperCollins Publishers Inc.,2016
9819,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Stone Warriors: Tombquest Series, Book 4 (unabridged) (Unabridged)",Michael Northrop,"Juvenile Fiction, Thriller",Scholastic Inc. Audiobooks,2016
9823,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Front and Center: Dairy Queen Series, Book 3 (unabridged) (Unabridged)",Catherine Gilbert Murdock,"Young Adult Fiction, Young Adult Literature",Books on Tape,2010
9854,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Murder by the Book: Nero Wolfe Series, Book 19 (unabridged) (Unabridged)",Rex Stout,"Fiction, Mystery",Books on Tape,2012
9866,Digital,OverDrive,AUDIOBOOK,2018,1,1,"When You Give a Duke a Diamond: Jewels of the Ton Series, Book 1 (unabridged) (Unabridged)",Shana Galen,"Fiction, Literature","Tantor Media, Inc",2014
9881,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Garden of Lamentations: A Novel (unabridged) (Unabridged),Deborah Crombie,"Fiction, Mystery",HarperCollins Publishers Inc.,2017
9890,Digital,OverDrive,AUDIOBOOK,2018,1,7,Legacy of Ashes: The History of the CIA (unabridged) (Unabridged),Tim Weiner,"History, Nonfiction","Blackstone Audio, Inc.",2007
9891,Digital,OverDrive,AUDIOBOOK,2018,1,15,Cutting For Stone: A Novel (unabridged) (Unabridged),Abraham Verghese,"Fiction, Literature",Books on Tape,2009
9912,Digital,OverDrive,AUDIOBOOK,2018,1,3,Diana: Her True Story in Her Own Words (unabridged) (Unabridged),Andrew Morton,"Biography & Autobiography, Nonfiction",Simon & Schuster - All Library,2017
9915,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Forever: The Wolves of Mercy Falls Trilogy, Book 3 (unabridged) (Unabridged)",Maggie Stiefvater,"Fantasy, Romance, Young Adult Fiction",Scholastic Inc. Audiobooks,2011
9917,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Hidden Brain: How Our Unconscious Minds Elect Presidents, Control Markets, Wage Wars, and Save Our Lives (unabridged) (Unabridged)",Shankar Vedantam,"Nonfiction, Sociology",Books on Tape,2010
9953,Digital,OverDrive,AUDIOBOOK,2018,1,2,"A Dream of Ice: Earthend Saga Series, Book 2 (unabridged) (Unabridged)",Gillian Anderson,"Fiction, Literature, Science Fiction, Thriller",Simon & Schuster - All Library,2016
9957,Digital,OverDrive,AUDIOBOOK,2018,1,12,"Bluebird, Bluebird: Highway 59 Series, Book 1 (unabridged) (Unabridged)",Attica Locke,"Fiction, Mystery",Hachette Audio,2017
9963,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Dark Voyage: Night Soldiers Series, Book 8 (unabridged) (Unabridged)",Alan Furst,"Fiction, Historical Fiction, Thriller",Simon & Schuster - All Library,2017
